seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
321,0.05,0.05,0.03,0.01,0.01,1.03,Still
322,0.06,0.04,0.03,0.01,0.01,1.03,Still
323,0.05,0.04,0.04,0.01,0.01,1.03,Still
324,0.06,0.04,0.04,0.01,0.01,1.03,Still
325,0.05,0.04,0.03,0.01,0.01,1.03,Still
326,0.06,0.04,0.03,0.01,0.01,1.03,Still
327,0.05,0.05,0.03,0.01,0.01,1.03,Still
328,0.05,0.04,0.04,0.01,0.01,1.03,Still
329,0.06,0.04,0.03,0.01,0.01,1.04,Still
330,0.06,0.04,0.04,0.01,0.01,1.03,Still
331,0.05,0.04,0.04,0.01,0.01,1.03,Still
332,0.06,0.04,0.04,0.01,0.01,1.03,Still
333,0.05,0.05,0.03,0.01,0.01,1.03,Still
334,0.05,0.04,0.04,0.01,0.01,1.03,Still
335,0.05,0.03,0.02,0.01,0.01,1.03,Still
336,0.06,0.04,0.04,0.01,0.01,1.04,Still
337,0.05,0.04,0.04,0.01,0.01,1.03,Still
338,0.06,0.04,0.04,0.01,0.01,1.03,Still
339,0.05,0.06,0.04,0.01,0.01,1.03,Still
340,0.05,0.04,0.04,0.01,0.01,1.03,Still
341,0.06,0.04,0.05,0.01,0.01,1.03,Still
342,0.06,0.05,0.03,0.01,0.01,1.03,Still
343,0.06,0.03,0.03,0.01,0.01,1.03,Still
344,0.05,0.04,0.04,0.01,0.01,1.03,Still
345,0.05,0.05,0.04,0.01,0.01,1.03,Still
346,0.05,0.04,0.03,0.01,0.01,1.03,Still
347,0.06,0.05,0.03,0.01,0.01,1.03,Still
348,0.05,0.04,0.04,0.01,0.01,1.03,Still
349,0.05,0.04,0.04,0.01,0.01,1.03,Still
350,0.06,0.04,0.03,0.01,0.01,1.03,Still
351,0.06,0.03,0.04,0.01,0.01,1.03,Still
352,0.05,0.04,0.03,0.01,0.01,1.03,Still
353,0.05,0.05,0.04,0.01,0.01,1.03,Still
354,0.06,0.04,0.03,0.01,0.01,1.03,Still
355,0.05,0.04,0.02,0.01,0.01,1.03,Still
356,0.05,0.05,0.03,0.01,0.01,1.03,Still
357,0.05,0.04,0.03,0.01,0.01,1.03,Still
358,0.05,0.03,0.03,0.01,0.01,1.03,Still
359,0.05,0.04,0.04,0.01,0.01,1.03,Still
360,0.05,0.05,0.03,0.01,0.01,1.03,Still
361,0.06,0.04,0.03,0.01,0.01,1.03,Still
362,0.06,0.04,0.05,0.01,0.02,1.03,Still
