seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
197,0.05,0.04,0.04,0.01,-0,1.03,sideways
198,0.07,0.05,0.23,-0.02,-0.01,1.04,sideways
199,0.04,0.05,0.17,-0.04,-0.01,1.01,sideways
200,0.05,0.05,-0.17,-0.1,-0.01,0.99,sideways
201,0.04,0.08,0.29,-0.18,0.01,1,sideways
202,0.07,0.02,0.18,-0.18,-0.04,1.08,sideways
203,0.06,0.03,0.1,-0.27,0.05,1.11,sideways
204,0.04,0.06,0.86,-0.09,0.02,1.05,sideways
205,0.09,0.02,1.2,0.15,-0.06,1.02,sideways
206,0.07,0.03,0.08,0.25,-0.08,1.06,sideways
207,0.02,0.05,-0.24,0.28,0,1,sideways
208,0.05,0.05,-0.3,0.13,0.05,1.01,sideways
209,0.05,0.05,0.04,0.04,0.01,1.02,sideways
210,0.06,0.04,0.07,0.01,-0.01,1.02,sideways
211,0.05,0.04,0.16,0.01,-0.01,1.03,sideways
212,0.07,0.05,0.42,-0.01,0.01,1.03,sideways
213,0.06,0.04,0.23,0.02,-0,1.02,sideways
214,0.05,0.05,0.04,0.03,-0.01,1.03,sideways
215,0.06,0.05,0.03,0.01,-0,1.03,sideways
216,0.06,0.05,0.05,0.01,-0.01,1.04,sideways
217,0.06,0.04,0.05,0.02,-0.01,1.03,sideways
218,0.06,0.05,0.04,0.01,-0,1.03,sideways
219,0.06,0.05,0.05,0.01,-0,1.02,sideways
220,0.06,0.04,0.03,0.02,-0,1.02,sideways
221,0.04,0.06,0.02,0.12,-0.01,1.02,sideways
222,0.04,0.04,-0.01,0.15,-0.01,1.02,sideways
223,0.06,0.05,-0.33,0.16,0,1.05,sideways
224,0.06,0.02,0.15,0.15,0.01,1.03,sideways
225,0.06,0.09,-0.46,0.1,-0.01,1.01,sideways
226,0.04,0.02,-0.54,0.08,-0.01,1.04,sideways
227,0.05,0.01,-0.03,0.04,-0.01,1.04,sideways
228,0.07,0.07,-0.32,0.06,-0.12,0.94,sideways
229,0.07,0.04,-0.43,-0.05,-0.05,1.04,sideways
230,0.06,0.06,0.23,-0.17,0,1.05,sideways
231,0.05,0.05,0.18,-0.14,0,1.03,sideways
232,0.06,0.05,0.04,-0.04,-0,1.03,sideways
233,0.06,0.04,0.14,-0.03,-0.01,1.03,sideways
234,0.06,0.05,0.05,0.01,0,1.03,sideways
235,0.06,0.05,0.03,0.01,-0,1.02,sideways
236,0.05,0.05,0.04,0.01,-0,1.03,sideways
237,0.05,0.05,0.04,0.01,-0,1.02,sideways
238,0.06,0.04,0.03,0.01,-0,1.03,sideways
239,0.05,0.05,0.04,0.01,-0,1.03,sideways
240,0.05,0.05,0.04,0.01,-0,1.02,sideways
241,0.07,0.05,0.17,0.03,-0,1.03,sideways
242,0.06,0.04,0.1,-0.02,0,1.02,sideways
243,0.06,0.04,0.09,-0.06,0,1.04,sideways
244,0.05,0.05,-0.1,-0.14,0.02,1.01,sideways
245,0.05,0.06,-0.02,-0.15,-0.01,1.02,sideways
246,0.07,0.09,0.32,-0.14,0,1.02,sideways
247,0.09,0.1,0.64,-0.09,0.03,1.09,sideways
248,0.08,0.03,0.74,-0.1,0.07,1.04,sideways
249,0.1,0.02,0.75,-0.06,0.01,1.1,sideways
250,0.01,0.04,0.44,-0.01,-0.01,1.03,sideways
251,0.03,-0,0.28,0.04,0.01,1.02,sideways
252,0.07,-0,0.62,0.25,-0.01,1.03,sideways
253,0.07,0.03,-0.22,0.17,0,1.02,sideways
254,0.06,0.04,-0.38,0.13,0.04,1.03,sideways
255,0.07,0.05,-0.23,0.05,0.03,1.02,sideways
256,0.05,0.05,0.02,0.02,0.01,1.03,sideways
257,0.05,0.04,0,0.02,-0,1.03,sideways
258,0.1,0.04,0.07,-0,0,1.03,sideways
259,0.05,0.04,0.04,0,0,1.03,sideways
260,0.03,0.05,0.04,0.01,0,1.03,sideways
261,0.05,0.05,0.04,0.01,0,1.03,sideways
