seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
1263,0.06,0.06,0.04,0.99,-0.02,0.01,90degRot
1264,0.25,0.22,-0.02,1.02,0.01,-0.01,90degRot
1265,0.29,1.55,0.11,1.05,-0.01,-0.05,90degRot
1266,0.04,2.89,0.06,1.04,-0.01,-0.01,90degRot
1267,0.08,3.91,0.01,1.01,-0.02,0.03,90degRot
1268,0.32,4.85,0.07,0.99,-0.01,0.1,90degRot
1269,0.45,5.31,0.15,0.96,-0.02,0.23,90degRot
1270,0.06,6.16,0.02,0.91,-0.02,0.34,90degRot
1271,-0.04,6.05,-0.05,0.82,-0.02,0.48,90degRot
1272,0.11,5.81,0.04,0.75,-0.01,0.57,90degRot
1273,0.06,5.06,-0.01,0.64,-0.01,0.72,90degRot
1274,0.09,3.72,0.04,0.6,-0.02,0.79,90degRot
1275,0.12,3.4,0.1,0.58,-0.02,0.8,90degRot
1276,0.1,3.27,0.05,0.54,-0.01,0.84,90degRot
1277,0.25,3.92,0.32,0.49,0.01,0.84,90degRot
1278,0.26,4.8,0.37,0.4,-0.01,0.89,90degRot
1279,0.31,4.98,0.63,0.32,0,0.91,90degRot
1280,0.2,5.06,0.54,0.19,-0.01,0.98,90degRot
1281,0.13,4.29,0.18,0.08,-0.02,1.02,90degRot
1282,0.13,3.35,0.39,-0.04,0.01,1.09,90degRot
1283,0.09,-0,0.09,-0,-0,1.05,90degRot
1284,0.07,0.03,0.06,-0,-0,1.03,90degRot
1285,0.1,0.04,0.24,-0.01,0,1.03,90degRot
1286,0.07,-0.62,0.28,-0.03,0,1.05,90degRot
1287,0.11,-1.04,0.18,0,-0.01,1.05,90degRot
1288,0.02,-1.94,0.06,0.01,-0,1.07,90degRot
1289,-0.01,-2.72,0.07,0.05,-0.01,1.05,90degRot
1290,-0.03,-3.38,0.05,0.12,-0,1.02,90degRot
1291,-0.01,-4.37,0.01,0.17,-0.01,1.02,90degRot
1292,-0.05,-4.87,-0.08,0.26,-0.01,0.98,90degRot
1293,-0.03,-4.96,-0.05,0.39,-0.02,0.89,90degRot
1294,-0.2,-4.78,-0.27,0.47,-0.01,0.86,90degRot
1295,0,-4.81,0.02,0.58,-0.01,0.78,90degRot
1296,0.02,-4.88,0.05,0.64,-0.01,0.73,90degRot
1297,-0.01,-4.88,0.01,0.74,-0.01,0.62,90degRot
1298,-0.01,-4.92,0.02,0.79,-0.02,0.55,90degRot
1299,-0.03,-4.98,-0,0.86,-0.02,0.46,90degRot
1300,-0.7,-5.44,-0.22,0.89,-0.01,0.35,90degRot
1301,-0.71,-5.74,-0.1,0.92,-0.01,0.23,90degRot
1302,-0.31,-4.5,0.01,0.98,-0,0.11,90degRot
1303,-0.08,-3.13,0.04,1.03,-0.03,0.01,90degRot
1304,0.34,-0.26,0.02,1.03,-0.08,0.13,90degRot
1305,0.06,0.07,0.04,1,-0.04,0.03,90degRot
1306,0.04,0.03,0.04,0.99,-0.02,0.01,90degRot
1307,0.06,0.05,0.03,0.99,-0.02,0,90degRot
1308,0.06,0.16,0,1,-0.03,-0.01,90degRot
1309,0.09,1.31,0.05,1.02,-0.03,-0.04,90degRot
1310,0.08,2.2,0.06,1.05,-0.01,-0.04,90degRot
1311,0.01,2.76,0.03,1.01,-0.01,0.04,90degRot
1312,0.2,3.16,0.06,1,-0.01,0.09,90degRot
1313,0.44,3.63,0.1,0.98,-0.01,0.16,90degRot
1314,0.37,4.45,0.09,0.98,-0.01,0.21,90degRot
1315,0.34,5.01,0.14,0.9,-0.01,0.33,90degRot
1316,0.25,4.67,0.11,0.87,-0.01,0.43,90degRot
1317,0.11,5.04,0.04,0.82,-0.03,0.51,90degRot
1318,0.1,5.14,0.04,0.77,-0.02,0.58,90degRot
1319,0.1,5.41,0.02,0.7,-0.01,0.66,90degRot
1320,0.02,5.74,-0.08,0.6,-0.01,0.75,90degRot
1321,0.11,5.36,0.03,0.51,-0.01,0.82,90degRot
1322,0.12,4.67,0.07,0.4,-0.01,0.92,90degRot
1323,0.08,3.69,0.02,0.31,-0.01,0.98,90degRot
1324,0.09,2.58,0.06,0.27,-0.01,0.99,90degRot
1325,0.11,1.89,0.21,0.23,-0.01,1,90degRot
1326,0.1,2.17,0.14,0.21,-0.01,1,90degRot
1327,0.11,2.33,0.18,0.19,-0.01,0.98,90degRot
1328,0.11,2.51,0.21,0.13,-0.01,1,90degRot
1329,0.08,3.03,0.14,0.07,-0.01,1.01,90degRot
1330,0.02,0.03,0.14,-0.03,-0.01,1,90degRot
1331,0.07,0.02,0.06,-0,-0.01,1.02,90degRot
1332,0.08,-0.09,0.16,-0.07,0.03,1.05,90degRot
1333,0.1,-2.37,0.34,-0.01,-0,1.06,90degRot
1334,0.01,-2.37,0.23,0.03,0,1.04,90degRot
1335,0.11,-3.05,0.56,0.08,-0,1.04,90degRot
1336,0.1,-3.36,0.37,0.15,-0.02,1.03,90degRot
1337,-0.02,-4,-0.08,0.23,-0.02,0.99,90degRot
1338,-0.03,-4.61,-0.04,0.28,-0.01,1,90degRot
1339,-0.03,-5.45,-0.02,0.41,-0.01,0.88,90degRot
1340,0.01,-5.25,0.03,0.53,-0,0.8,90degRot
1341,0.02,-4.99,0.04,0.6,-0.01,0.76,90degRot
1342,-0.02,-5.05,0.01,0.66,-0.01,0.7,90degRot
1343,0,-4.9,0.03,0.76,-0,0.6,90degRot
1344,-0.14,-4.88,-0.07,0.82,-0.01,0.5,90degRot
1345,-0.31,-4.52,-0.11,0.88,-0.01,0.4,90degRot
1346,-0.71,-4.77,-0.16,0.89,-0.01,0.3,90degRot
1347,-0.72,-4.35,-0.12,0.96,-0,0.2,90degRot
1348,-0.35,-3.31,-0.02,1,-0.02,0.12,90degRot
1349,-0.23,-3.5,0.03,0.95,0.01,0.09,90degRot
1350,0.71,0.3,-0.26,1.66,-0.31,0.18,90degRot
1351,0.17,0.05,0.03,1.19,-0.06,0.02,90degRot
1352,-0.02,0.11,-0,1.04,-0.01,0.01,90degRot
1353,0.06,0.04,0.04,1,-0.01,0,90degRot
1354,0.06,0.2,0.04,1.01,-0.01,-0.01,90degRot
1355,0.13,1.14,0.05,1.06,-0.02,0.02,90degRot
1356,0.17,2.48,0.03,1.02,0.02,0.04,90degRot
1357,-0.36,2.68,0.03,1.01,-0.02,0.03,90degRot
1358,-0.27,3.25,-0.01,0.98,-0.03,0.05,90degRot
1359,-0.01,3.9,0.01,0.98,-0.02,0.14,90degRot
1360,-0.06,4.29,-0.02,0.95,-0.01,0.24,90degRot
1361,-0.03,4.86,-0.05,0.92,-0.02,0.32,90degRot
1362,0.09,5.47,0.02,0.9,-0.02,0.39,90degRot
1363,0.05,6.39,0,0.84,-0,0.48,90degRot
1364,0.09,7.1,-0.01,0.72,-0.01,0.59,90degRot
1365,0.11,6.52,0.03,0.58,-0.01,0.74,90degRot
1366,-0.03,6.75,-0.2,0.52,-0.02,0.79,90degRot
1367,0.09,6.02,-0.04,0.31,0,0.96,90degRot
1368,0.2,4.18,0.39,0.21,0.02,1.02,90degRot
1369,0.16,3.38,0.37,0.19,-0.01,1.02,90degRot
1370,0.12,2.97,0.2,0.1,0.01,1.05,90degRot
1371,0.11,2.06,0.48,0.07,-0,1.04,90degRot
1372,0.16,2.2,0.42,0.06,-0.02,1.03,90degRot
1373,0.01,-0.03,-0.08,-0.04,0.07,0.82,90degRot
