seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
267,0.08,0.07,0.06,0.02,0,1.04,UpDown
268,-1.11,0.76,0.28,0.05,0.09,1.18,UpDown
269,-2.44,1.11,0.25,-0.08,0,1.63,UpDown
270,3.04,-0.69,0.86,-0.04,-0.22,1.46,UpDown
271,3.51,-1.07,0.7,-0.05,0.03,0.92,UpDown
272,0.71,-0.58,0.44,0.02,0.07,0.74,UpDown
273,0.58,-0.78,0.1,0.09,0.08,0.81,UpDown
274,0.84,0.12,0.02,0.1,0.06,0.95,UpDown
275,1.01,0.14,-0.22,0.05,0.12,0.88,UpDown
276,0.02,-0.41,0.09,0.02,0.14,0.88,UpDown
277,-0.01,0.25,0.1,0.05,0.12,0.92,UpDown
278,0.11,-0.01,0.12,0.04,0.11,0.9,UpDown
279,-0.28,0.08,0.11,0.06,0.11,0.95,UpDown
280,-0.15,0.19,0.09,0.06,0.11,0.98,UpDown
281,-0.21,0.07,0.07,0.03,0.09,0.99,UpDown
282,-0.22,0.33,-0.01,0.04,0.1,1.01,UpDown
283,-0.03,-0.03,0.17,0.03,0.1,1.02,UpDown
284,-0.17,0.07,0.08,0.06,0.11,0.98,UpDown
285,-0.11,0.25,0.08,0.04,0.11,0.95,UpDown
286,0.01,0.05,-0.02,0.04,0.1,0.89,UpDown
287,-0.52,0.22,-0.14,0.07,0.1,0.87,UpDown
288,-0.56,0.34,-0.31,0.05,0.09,0.98,UpDown
289,-0.36,0.31,-0.27,0.05,0.06,1.11,UpDown
290,-0.25,0.81,-0.51,0.04,0.09,1.13,UpDown
291,-0.19,0.21,-0.26,-0.07,0.07,1.18,UpDown
292,0.41,0.1,-0.15,-0.02,0.08,1.1,UpDown
293,-0.18,0.22,-0.13,-0.03,0.08,1.09,UpDown
294,-0.3,0.01,0.08,-0.03,0.07,1.07,UpDown
295,-0.04,-0.07,0.14,0,0.06,1.08,UpDown
296,-0.22,0.22,0.02,0.01,0.05,1.07,UpDown
297,-0.05,0.14,0.02,0,0.06,1.05,UpDown
298,0,-0.09,0.07,0,0.05,1.06,UpDown
299,0.03,-0.1,0.09,0.01,0.05,1.04,UpDown
300,-0.08,0.06,0.01,0.02,0.05,1.03,UpDown
301,-0.05,0.02,0.06,0,0.05,1.04,UpDown
302,0.11,-0.03,0.09,0,0.03,1.03,UpDown
303,-0.02,0.02,0.03,0.01,0.03,1.04,UpDown
304,0.11,0.07,0.02,0.01,0.04,1.03,UpDown
305,0.02,-0.04,0.07,0,0.04,1.06,UpDown
306,0.09,0.09,0.02,0.01,0.05,1.07,UpDown
307,-0.35,0.1,-0.02,0,0.03,1.21,UpDown
308,0.18,0,0.17,-0.04,0,1.4,UpDown
309,1.03,-0.43,0.37,-0.05,0.02,1.31,UpDown
310,1.02,-0.72,0.36,0.01,0.02,1.2,UpDown
311,1.47,-0.84,0.44,0.05,0.02,1.13,UpDown
312,1.58,-0.47,0.22,0.06,0.08,0.97,UpDown
313,0.91,-0.03,0.17,0.05,0.13,0.89,UpDown
314,1.26,-0.5,0.29,0.09,0.15,0.73,UpDown
315,0,-0.01,-0.05,0.12,0.19,0.72,UpDown
316,-0.23,0.14,-0.18,0.09,0.17,0.85,UpDown
317,0.14,0.01,-0.1,0.08,0.16,0.91,UpDown
318,-0.08,0.32,-0.11,0.07,0.17,0.92,UpDown
319,-0.25,0.26,0.06,0.04,0.16,0.97,UpDown
320,-0.13,0.45,0.07,0.06,0.17,0.95,UpDown
321,-0.09,0.06,0.15,0.06,0.14,0.95,UpDown
322,-0.48,0.21,0.1,0.06,0.13,1,UpDown
323,-0.16,0.27,0.04,0.06,0.13,1.01,UpDown
324,-0.01,0.24,0,0.05,0.13,1,UpDown
325,-0.04,0.08,-0.01,0.05,0.13,0.96,UpDown
326,0.05,0.26,-0.04,0.04,0.14,0.9,UpDown
327,-0.23,0.46,-0.32,0.07,0.15,0.84,UpDown
328,-0.39,0.58,-0.18,0.07,0.13,0.87,UpDown
329,-0.3,0.19,-0.34,0.05,0.11,0.88,UpDown
330,-0.88,0.56,-0.45,0.03,0.09,0.96,UpDown
331,-0.71,0.31,-0.35,0,0.05,1.08,UpDown
332,-0.79,0.71,-0.55,0.01,0.07,1.17,UpDown
333,-0.12,0.43,-0.36,-0.05,0.06,1.2,UpDown
334,-0.21,0.33,-0.27,-0.07,0.09,1.15,UpDown
335,0.15,-0.15,-0.11,-0.09,0.07,1.17,UpDown
336,0.16,-0.08,0.14,-0.05,0.08,1.13,UpDown
337,0.11,0.07,0.15,-0.02,0.07,1.11,UpDown
338,0.06,0.09,0.09,-0.04,0.06,1.1,UpDown
339,-0.03,0.08,0.08,-0.03,0.06,1.04,UpDown
340,-0.09,0.07,0.11,-0.03,0.06,1.05,UpDown
341,0.13,0.05,0.1,-0.01,0.05,1.06,UpDown
342,0.16,0.02,0.03,-0.02,0.06,1.03,UpDown
343,-0.05,0.17,0.07,-0.03,0.05,1.02,UpDown
344,0.14,-0.04,0.1,-0.02,0.05,1.01,UpDown
345,0.02,0.14,0.08,-0.02,0.04,1.01,UpDown
346,0.09,0.1,0.04,-0.03,0.04,1.04,UpDown
347,0,0.01,0.13,-0.03,0.05,1.01,UpDown
348,0.02,0.06,0.03,-0.02,0.05,1.03,UpDown
349,0.1,0.15,0.06,-0.03,0.05,1.04,UpDown
350,0.06,-0.06,0.07,-0.03,0.06,1.06,UpDown
351,-0.03,0.04,0.11,-0.02,0.05,1.22,UpDown
352,0.54,0.27,0.08,-0.05,0.04,1.33,UpDown
353,0.62,0.15,0.33,-0.09,0.07,1.33,UpDown
354,0.76,-0.04,0.48,-0.06,0.06,1.27,UpDown
355,0.91,-0.49,0.5,-0.03,0.05,1.1,UpDown
356,1.56,-0.49,0.48,0.01,0.08,0.98,UpDown
357,1.25,-0.07,0.27,0.03,0.14,0.79,UpDown
358,0.15,-0.15,0.11,0,0.16,0.78,UpDown
359,0.33,-0.25,0.07,0,0.15,0.81,UpDown
360,0.04,0.03,-0.01,0.02,0.16,0.84,UpDown
361,0.11,-0.16,0.01,0.01,0.14,0.91,UpDown
362,-0.03,0.22,0.04,0.01,0.16,0.88,UpDown
363,-0.38,0.21,0.06,-0.02,0.14,0.96,UpDown
364,-0.29,0.05,0.09,0.01,0.16,0.97,UpDown
365,-0.18,0.04,0.06,0,0.14,1.05,UpDown
366,0.01,0.33,0.08,0.01,0.15,1.04,UpDown
367,-0.01,0.15,0.08,-0.01,0.15,1.05,UpDown
368,0.16,-0.05,0.13,0,0.15,1.01,UpDown
369,0.02,0.13,0.04,-0.01,0.15,0.99,UpDown
370,0.36,-0.22,0.09,0,0.16,0.9,UpDown
371,0.18,0.2,-0.04,0.03,0.17,0.81,UpDown
